w_20d,w_30d,w_50d,w_100d,w_200d,w_365d,long_sharpe,long_avg,spread_sharpe,spread_avg,win_rate,n_dates
0,0,0,0,100,0,0.2054792046546936,0.04040529206395149,0.09373006224632263,0.023764418438076973,0.64043047056341,4739
0,0,0,10,90,0,0.1984180361032486,0.03890643268823624,0.08860442042350769,0.022553825750947,0.6490820848280228,4739
0,0,0,20,80,0,0.19613322615623474,0.038423214107751846,0.08750589936971664,0.0223433468490839,0.6492930998100865,4739
0,0,0,0,90,10,0.19608363509178162,0.03663277253508568,0.08528712391853333,0.021772077307105064,0.6461278750791306,4739
0,0,0,0,80,20,0.19349659979343414,0.03600233420729637,0.08624348789453506,0.022074326872825623,0.6480270099177041,4739
0,0,0,10,80,10,0.19318804144859314,0.03572002053260803,0.0838736817240715,0.02146720699965954,0.6528803545051699,4739
0,0,0,30,70,0,0.1921810656785965,0.03758278116583824,0.08452151715755463,0.02156532183289528,0.6440177252584933,4739
0,0,0,20,70,10,0.19214016199111938,0.03572862222790718,0.0838625580072403,0.021500108763575554,0.6528803545051699,4739
0,0,0,0,70,30,0.19051167368888855,0.034998174756765366,0.0846422091126442,0.02158837579190731,0.6478159949356405,4739
0,0,0,30,60,10,0.19006799161434174,0.035331256687641144,0.0822170227766037,0.02102462388575077,0.6528803545051699,4739
0,0,0,40,60,0,0.18908700346946716,0.03702412545681,0.08269941806793213,0.021137628704309464,0.6410635155096012,4739
0,0,0,0,60,40,0.1883493959903717,0.034421298652887344,0.08417846262454987,0.021433286368846893,0.6461278750791306,4739
0,0,0,10,70,20,0.18823926150798798,0.03437554091215134,0.08094830065965652,0.020752880722284317,0.653513399451361,4739
0,0,0,20,60,20,0.18796493113040924,0.03415260463953018,0.08110062032938004,0.020683886483311653,0.6524583245410425,4739
0,0,0,40,50,10,0.18794170022010803,0.03490963950753212,0.08058460056781769,0.020611509680747986,0.6505591897024688,4739
0,0,0,30,50,20,0.1874624341726303,0.03392114117741585,0.0799582451581955,0.020372970029711723,0.653513399451361,4739
0,0,0,0,50,50,0.18718624114990234,0.03410539776086807,0.08323591947555542,0.021116822957992554,0.6463388900611944,4739
0,0,0,50,50,0,0.18633189797401428,0.036520205438137054,0.0786527693271637,0.020096201449632645,0.6414855454737286,4739
0,0,0,40,40,20,0.18516598641872406,0.03361161798238754,0.07973233610391617,0.02023574896156788,0.6524583245410425,4739
0,0,0,50,40,10,0.18512366712093353,0.034416958689689636,0.07906222343444824,0.02014005556702614,0.6503481747204052,4739
0,0,0,10,60,30,0.18494364619255066,0.03362273424863815,0.07956142723560333,0.020431093871593475,0.6518252795948513,4739
0,0,0,0,40,60,0.1848369985818863,0.033587366342544556,0.07988950610160828,0.020213201642036438,0.6495041147921502,4739
0,0,0,20,50,30,0.18477179110050201,0.033378589898347855,0.08059072494506836,0.0205508042126894,0.6526693395231061,4739
0,0,0,90,0,10,0.1846974641084671,0.03463056683540344,0.09131059050559998,0.02235209196805954,0.6446507702046845,4739
0,0,0,50,30,20,0.18438878655433655,0.033505022525787354,0.08058228343725204,0.02036978490650654,0.6522473095589787,4739
0,0,0,60,20,20,0.18422836065292358,0.033642325550317764,0.082481749355793,0.020788196474313736,0.654357459379616,4739
0,0,10,0,90,0,0.18420259654521942,0.033964984118938446,0.06235359609127045,0.015593238174915314,0.6518252795948513,4739
0,0,0,60,30,10,0.18388965725898743,0.03419634699821472,0.07918496429920197,0.02005736343562603,0.65119223464866,4739
0,0,0,10,50,40,0.18378637731075287,0.03320916369557381,0.08002006262540817,0.02043674699962139,0.6492930998100865,4739
0,0,0,30,40,30,0.1836424320936203,0.033076006919145584,0.07995400577783585,0.0203106626868248,0.6522473095589787,4739
0,0,0,40,30,30,0.1834864318370819,0.03298090398311615,0.08129444718360901,0.020517705008387566,0.6524583245410425,4739
0,0,0,50,20,30,0.18329152464866638,0.032928358763456345,0.08270306140184402,0.020769797265529633,0.6539354294154885,4739
0,0,0,0,30,70,0.18312902748584747,0.03323553875088692,0.07838217169046402,0.01980677805840969,0.6476049799535767,4739
0,0,0,20,40,40,0.18307088315486908,0.03287282958626747,0.08151952177286148,0.020681457594037056,0.6524583245410425,4739
0,0,0,70,20,10,0.18297824263572693,0.03416409716010094,0.0813976526260376,0.020499685779213905,0.6514032496307238,4739
0,0,0,10,40,50,0.18255101144313812,0.03294989839196205,0.07949574291706085,0.020266424864530563,0.6471829499894493,4739
0,0,0,60,40,0,0.18250326812267303,0.03584761172533035,0.07633046060800552,0.019461866468191147,0.6397974256172189,4739
0,0,0,70,10,20,0.18218277394771576,0.03321482613682747,0.08511849492788315,0.021175442263484,0.6509812196665963,4739
0,0,0,80,0,20,0.18155138194561005,0.033233076333999634,0.087514728307724,0.02147482894361019,0.6471829499894493,4739
0,0,0,60,10,30,0.18132160604000092,0.03266964852809906,0.08446338772773743,0.021064354106783867,0.6516142646127875,4739
0,0,0,80,10,10,0.18104635179042816,0.0336686372756958,0.08473765105009079,0.021071884781122208,0.6484490398818316,4739
0,0,0,40,20,40,0.18100057542324066,0.0323726125061512,0.08283447474241257,0.020804857835173607,0.6526693395231061,4739
0,0,0,30,30,40,0.18093879520893097,0.03235247731208801,0.07999718934297562,0.020199256017804146,0.6514032496307238,4739
0,0,0,0,20,80,0.18080665171146393,0.03283393755555153,0.0769885927438736,0.019429385662078857,0.6461278750791306,4739
0,0,0,10,30,60,0.18039561808109283,0.03235189989209175,0.07748130708932877,0.019644251093268394,0.6478159949356405,4739
0,0,20,0,80,0,0.180361807346344,0.032935768365859985,0.06094782426953316,0.014934194274246693,0.6490820848280228,4739
0,0,0,20,30,50,0.18027180433273315,0.0322619266808033,0.08041654527187347,0.020313290879130363,0.6528803545051699,4739
0,0,0,40,10,50,0.18024154007434845,0.032145291566848755,0.085513174533844,0.021331487223505974,0.6526693395231061,4739
0,0,0,50,10,40,0.1798291653394699,0.0321362242102623,0.08401988446712494,0.020923685282468796,0.6522473095589787,4739
0,0,10,0,80,10,0.1797037422657013,0.03264709934592247,0.06417655944824219,0.016237428411841393,0.6533023844692973,4739
0,10,0,0,90,0,0.17961232364177704,0.03267199546098709,0.05833718180656433,0.014442311599850655,0.6395864106351551,4739
0,0,0,20,20,60,0.1794402003288269,0.03189132735133171,0.0817905068397522,0.02048300951719284,0.653513399451361,4739
0,0,10,10,80,0,0.17943915724754333,0.033017564564943314,0.059525296092033386,0.014853454194962978,0.6516142646127875,4739
0,0,0,10,20,70,0.1793215572834015,0.03220875933766365,0.07870373129844666,0.01986774429678917,0.6499261447562777,4739
0,0,0,30,20,50,0.17922918498516083,0.03197085112333298,0.08236552029848099,0.020706983283162117,0.6507702046845326,4739
0,0,0,70,30,0,0.1790442168712616,0.035286590456962585,0.07427950203418732,0.01889449916779995,0.6372652458324541,4739
0,0,0,70,0,30,0.1789059042930603,0.03244604542851448,0.08467603474855423,0.020811716094613075,0.6503481747204052,4739
0,0,10,10,70,10,0.17859581112861633,0.03236439824104309,0.06380293518304825,0.016107045114040375,0.6579447140746993,4739
0,0,0,30,10,60,0.17830589413642883,0.031701814383268356,0.0844717025756836,0.02101277746260166,0.6537244144334248,4739
0,0,0,0,10,90,0.17826072871685028,0.03245582804083824,0.07627825438976288,0.019257230684161186,0.641907575437856,4739
0,0,0,40,0,60,0.17821812629699707,0.031808316707611084,0.08185771852731705,0.020164730027318,0.6539354294154885,4739
10,0,0,0,90,0,0.17814815044403076,0.0323917455971241,0.05473050847649574,0.01339798979461193,0.6400084405992825,4739
0,0,0,50,0,50,0.17808017134666443,0.03186485171318054,0.08249975740909576,0.020328013226389885,0.6530913694872336,4739
0,0,0,60,0,40,0.17783357203006744,0.032009147107601166,0.08299925923347473,0.02044447883963585,0.6524583245410425,4739
0,0,0,30,0,70,0.1776508390903473,0.031599149107933044,0.08073306828737259,0.01977543532848358,0.6541464443975522,4739
0,0,0,20,10,70,0.1774044930934906,0.03157811984419823,0.08345862478017807,0.0207525584846735,0.6503481747204052,4739
0,0,10,20,60,10,0.17673654854297638,0.03204553201794624,0.06290870159864426,0.01582704856991768,0.6579447140746993,4739
0,0,0,10,10,80,0.1765752136707306,0.03156184032559395,0.07737351953983307,0.019342277199029922,0.6463388900611944,4739
0,0,0,20,0,80,0.17647945880889893,0.031510960310697556,0.07805203646421432,0.019113177433609962,0.6537244144334248,4739
0,0,10,20,70,0,0.17624881863594055,0.03252565488219261,0.05847179889678955,0.014559156261384487,0.6482380248997679,4739
0,0,10,20,50,20,0.17572849988937378,0.031618040055036545,0.06522053480148315,0.016381625086069107,0.6592108039670816,4739
0,0,10,0,70,20,0.17558714747428894,0.03149814158678055,0.06254364550113678,0.015818031504750252,0.6556235492719983,4739
0,0,10,30,40,20,0.17551374435424805,0.03156853839755058,0.06572677195072174,0.016422174870967865,0.6585777590208904,4739
0,0,30,0,70,0,0.17549100518226624,0.03185271471738815,0.057800889015197754,0.013931446708738804,0.6452838151508757,4739
0,0,10,10,60,20,0.17548112571239471,0.03149225562810898,0.062214870005846024,0.01570265367627144,0.6602658788774003,4739
0,0,0,10,0,90,0.17531907558441162,0.03129974752664566,0.07039906084537506,0.01731014810502529,0.646549905043258,4739
0,0,10,80,0,10,0.17525863647460938,0.03245638683438301,0.0739172101020813,0.017881004139780998,0.6524583245410425,4739
0,0,20,0,70,10,0.17516808211803436,0.031555064022541046,0.06104827672243118,0.015100611373782158,0.6579447140746993,4739
0,0,10,40,30,20,0.1750609129667282,0.03152063861489296,0.0668514296412468,0.0166334118694067,0.658155729056763,4739
0,0,10,30,50,10,0.1747531145811081,0.03167862817645073,0.062110785394907,0.015580728650093079,0.6556235492719983,4739
0,0,0,80,20,0,0.17466290295124054,0.034501709043979645,0.07305928319692612,0.018485790118575096,0.6347330660476894,4739
0,0,10,40,40,10,0.1745961308479309,0.03172088414430618,0.06364709138870239,0.015917621552944183,0.6554125342899346,4739
0,10,0,0,80,10,0.17439593374729156,0.030746739357709885,0.058263782411813736,0.014568546786904335,0.649715129774214,4739
0,0,10,30,60,0,0.17432093620300293,0.032200515270233154,0.05803760886192322,0.014430194161832333,0.6484490398818316,4739
0,0,10,50,20,20,0.17414729297161102,0.031406886875629425,0.07009536772966385,0.01729830913245678,0.6571006541464444,4739
10,0,0,0,80,10,0.17396457493305206,0.03086230903863907,0.056539807468652725,0.014026220887899399,0.6480270099177041,4739
0,10,0,10,80,0,0.17386724054813385,0.031499363481998444,0.055007122457027435,0.013554234988987446,0.6438067102764297,4739
0,0,10,60,10,20,0.1737814098596573,0.03138480708003044,0.07189664989709854,0.01759151928126812,0.6545684743616796,4739
0,0,10,40,50,0,0.173438161611557,0.03206891193985939,0.05782776325941086,0.014371220953762531,0.6482380248997679,4739
0,0,10,0,50,40,0.17334072291851044,0.03037106990814209,0.060602255165576935,0.015301870182156563,0.6560455792361257,4739
0,10,10,0,80,0,0.17333222925662994,0.03067084215581417,0.05073276534676552,0.012318083085119724,0.645916860097067,4739
0,0,10,20,40,30,0.17330680787563324,0.030481727793812752,0.06393449753522873,0.0159948468208313,0.6592108039670816,4739
0,0,10,50,30,10,0.17328089475631714,0.0315498486161232,0.06445526331663132,0.01604989543557167,0.654357459379616,4739
10,0,0,10,70,10,0.17326758801937103,0.030538571998476982,0.05555810034275055,0.013779654167592525,0.6520362945769149,4739
0,0,10,50,10,30,0.1732589453458786,0.03067796118557453,0.07202709466218948,0.017614537850022316,0.6566786241823169,4739
0,0,10,40,20,30,0.1731865406036377,0.030731316655874252,0.06837420165538788,0.01694880612194538,0.6562565942181895,4739
0,0,10,0,60,30,0.1731858253479004,0.030465587973594666,0.059655286371707916,0.015087252482771873,0.654357459379616,4739
0,10,0,10,70,10,0.17307469248771667,0.030610382556915283,0.05814121663570404,0.01449720561504364,0.6528803545051699,4739
10,0,0,10,80,0,0.1730286329984665,0.03130011260509491,0.05177779495716095,0.012634621933102608,0.6393753956530913,4739
0,0,10,30,30,30,0.17290933430194855,0.030546298250555992,0.0642971396446228,0.016042867675423622,0.6564676092002533,4739
0,0,30,0,60,10,0.17263562977313995,0.030964277684688568,0.059171631932258606,0.014425388537347317,0.6556235492719983,4739
10,0,10,0,80,0,0.17262957990169525,0.030564909800887108,0.04897839576005936,0.011834277771413326,0.6452838151508757,4739
0,0,10,70,0,20,0.17258165776729584,0.031331196427345276,0.07363001257181168,0.01777917891740799,0.6505591897024688,4739
0,0,20,10,70,0,0.17257849872112274,0.031458619982004166,0.05612195283174515,0.013685232028365135,0.6482380248997679,4739
0,0,10,70,10,10,0.1724816858768463,0.03146262466907501,0.06924562901258469,0.016895893961191177,0.6488710698459591,4739
10,0,0,20,60,10,0.17247271537780762,0.03042774461209774,0.058494821190834045,0.01436521764844656,0.6480270099177041,4739
10,0,0,20,70,0,0.17234797775745392,0.03133421391248703,0.05498531088232994,0.013373879715800285,0.6402194555813463,4739
0,10,0,20,70,0,0.17227870225906372,0.031191328540444374,0.055481377989053726,0.013585485517978668,0.642751635366111,4739
