label,fwd,long_sharpe_avg,long_sharpe_min,long_sharpe_pos%,long_avg,long_avg_min,spread_sharpe_avg,spread_avg
opt_1,fwd_5d,0.1021805909462273,-0.13257929682731628,86.66666666666667,0.004341638156135256,-0.0036670772824436426,0.05676413495093584,0.0028095992320838073
opt_1,fwd_20d,0.25506887659430505,-0.24580584466457367,80.0,0.01805344227080544,-0.012929067946970463,0.1603612878670295,0.013053650719424088
opt_1,fwd_60d,0.5015511830647786,-0.27634885907173157,86.66666666666667,0.0624646307900548,-0.02982427179813385,0.3980443978061279,0.0513677273876965
opt_1,fwd_120d,0.7795632342497508,-0.48131391406059265,80.0,0.11634865539769332,-0.05111805349588394,0.6649849648276965,0.09040180395046869
opt_1,fwd_250d,1.1591764589150746,-1.0471527576446533,86.66666666666667,0.20987131930887698,-0.11843305081129074,0.8287139068047206,0.13041823357343674
opt_2,fwd_5d,0.09889422602330646,-0.11942225694656372,73.33333333333333,0.004092186119911882,-0.003219947451725602,0.04235400281225642,0.002047051721213696
opt_2,fwd_20d,0.24955514098207157,-0.22051963210105896,80.0,0.017708668718114495,-0.011045708321034908,0.1302448800454537,0.01110962169089665
opt_2,fwd_60d,0.4986349674562613,-0.2258155196905136,86.66666666666667,0.060161390559126934,-0.024180971086025238,0.3610368361075719,0.04757237217078606
opt_2,fwd_120d,0.7641049474477768,-0.478442907333374,80.0,0.11841944095989068,-0.05082309991121292,0.6171064180632432,0.09488865925619999
opt_2,fwd_250d,1.1479132615029812,-0.7563507556915283,86.66666666666667,0.21056388979777693,-0.0934189036488533,0.7841797808806101,0.14054333964983623
opt_3,fwd_5d,0.09719296231245002,-0.10777546465396881,73.33333333333333,0.00399129548362301,-0.002865544520318508,0.03528315420262516,0.0017148103021706145
opt_3,fwd_20d,0.24693326254685719,-0.19135652482509613,80.0,0.017320015622923773,-0.0093598747625947,0.11785105690360069,0.010067458807801207
opt_3,fwd_60d,0.498994966596365,-0.17813819646835327,86.66666666666667,0.05933155276191731,-0.02153162658214569,0.34876244912544885,0.04557193989555041
opt_3,fwd_120d,0.7550103396177292,-0.4255580008029938,80.0,0.11806415288398663,-0.04583067074418068,0.5987004030495882,0.09503375032606225
opt_3,fwd_250d,1.1496064797043801,-0.7318370938301086,86.66666666666667,0.21079340819269418,-0.09381459653377533,0.7653353003785014,0.1429678011064728
opt_4,fwd_5d,0.10600076050808033,-0.1236177459359169,86.66666666666667,0.004539469447142134,-0.0032992244232445955,0.06726390418286125,0.0032949757820460945
opt_4,fwd_20d,0.25301318187266586,-0.23522455990314484,80.0,0.018531668465584517,-0.012069957330822945,0.17222049379100401,0.01429580148930351
opt_4,fwd_60d,0.48503088553746543,-0.26305681467056274,86.66666666666667,0.058198690538605054,-0.026616103947162628,0.3925043359398842,0.04889252247909705
opt_4,fwd_120d,0.7638214300076167,-0.5999778509140015,80.0,0.11179374549537897,-0.06409952044487,0.6455371890837948,0.08762037061775724
