fold,oos_start,oos_end,label,fwd,long_sharpe,long_avg,spread_sharpe,spread_avg
1,2010-06-15,2011-06-14,opt_1,fwd_5d,0.1320057511329651,0.005128704011440277,0.0546504408121109,0.0013051914284005761
1,2010-06-15,2011-06-14,opt_1,fwd_20d,0.4915613830089569,0.029382163658738136,0.24877093732357025,0.010157524608075619
1,2010-06-15,2011-06-14,opt_1,fwd_60d,0.7604182958602905,0.07870082557201385,0.7047097682952881,0.04094449058175087
1,2010-06-15,2011-06-14,opt_1,fwd_120d,0.5911902189254761,0.11690999567508698,1.1895958185195923,0.08985574543476105
1,2010-06-15,2011-06-14,opt_1,fwd_250d,0.5718792080879211,0.09192319214344025,2.634455680847168,0.14613333344459534
1,2010-06-15,2011-06-14,opt_2,fwd_5d,0.1460963934659958,0.005531225819140673,0.04417797550559044,0.001067368546500802
1,2010-06-15,2011-06-14,opt_2,fwd_20d,0.5147541761398315,0.029729222878813744,0.20637111365795135,0.00880474504083395
1,2010-06-15,2011-06-14,opt_2,fwd_60d,0.779679000377655,0.07967358082532883,0.6672264337539673,0.04070598632097244
1,2010-06-15,2011-06-14,opt_2,fwd_120d,0.5954915285110474,0.117433562874794,1.012030005455017,0.08349307626485825
1,2010-06-15,2011-06-14,opt_2,fwd_250d,0.5821306109428406,0.0997283011674881,2.345810890197754,0.15536731481552124
1,2010-06-15,2011-06-14,opt_3,fwd_5d,0.15181072056293488,0.00561089301481843,0.031106818467378616,0.0007511929725296795
1,2010-06-15,2011-06-14,opt_3,fwd_20d,0.5290899872779846,0.030110495164990425,0.2099102884531021,0.009169381111860275
1,2010-06-15,2011-06-14,opt_3,fwd_60d,0.8060597777366638,0.08147122710943222,0.7166404724121094,0.04231511801481247
1,2010-06-15,2011-06-14,opt_3,fwd_120d,0.5979352593421936,0.11861283332109451,1.0245352983474731,0.08166459202766418
1,2010-06-15,2011-06-14,opt_3,fwd_250d,0.6083922386169434,0.10625462979078293,2.417508602142334,0.16529206931591034
1,2010-06-15,2011-06-14,opt_4,fwd_5d,0.1408219337463379,0.005487643647938967,0.09610190242528915,0.0023407679982483387
1,2010-06-15,2011-06-14,opt_4,fwd_20d,0.512420654296875,0.03058590367436409,0.337013840675354,0.01329141017049551
1,2010-06-15,2011-06-14,opt_4,fwd_60d,0.7856055498123169,0.08212658762931824,0.8246322870254517,0.0490063913166523
1,2010-06-15,2011-06-14,opt_4,fwd_120d,0.6051645278930664,0.12229807674884796,1.2140201330184937,0.09916960448026657
1,2010-06-15,2011-06-14,opt_4,fwd_250d,0.6065472364425659,0.10279469192028046,2.462271213531494,0.17295077443122864
1,2010-06-15,2011-06-14,opt_5,fwd_5d,0.13644176721572876,0.005357908084988594,0.09751365333795547,0.002429849235340953
1,2010-06-15,2011-06-14,opt_5,fwd_20d,0.5111324191093445,0.030688848346471786,0.37332984805107117,0.014835452660918236
1,2010-06-15,2011-06-14,opt_5,fwd_60d,0.7929918169975281,0.08311300724744797,0.9296058416366577,0.0554187148809433
1,2010-06-15,2011-06-14,opt_5,fwd_120d,0.6108505725860596,0.12582094967365265,1.2845031023025513,0.11019864678382874
1,2010-06-15,2011-06-14,opt_5,fwd_250d,0.5995346903800964,0.10411633551120758,2.3264689445495605,0.1864452064037323
1,2010-06-15,2011-06-14,opt_6,fwd_5d,0.1580262929201126,0.006008574273437262,0.07670323550701141,0.0018571593100205064
1,2010-06-15,2011-06-14,opt_6,fwd_20d,0.5357921123504639,0.03100774437189102,0.31030598282814026,0.012689671479165554
1,2010-06-15,2011-06-14,opt_6,fwd_60d,0.7934669256210327,0.08124992996454239,0.7863815426826477,0.0476936511695385
1,2010-06-15,2011-06-14,opt_6,fwd_120d,0.5955338478088379,0.12019234895706177,1.0652151107788086,0.09142988175153732
1,2010-06-15,2011-06-14,opt_6,fwd_250d,0.5668230652809143,0.10267159342765808,1.9926204681396484,0.17322802543640137
1,2010-06-15,2011-06-14,opt_7,fwd_5d,0.1591087132692337,0.005824768450111151,0.03901766613125801,0.0009507746435701847
