timeframe,weight_avg,weight_median,weight_std
5d,0.0826108641198468,0.05668831013004959,0.07975906932311763
10d,0.12097539731964119,0.10165769384318521,0.11057928741854597
15d,0.12536197822235984,0.053194716753137465,0.1085002530142031
20d,0.08434184873756632,0.060462232294467164,0.09794994143890756
30d,0.0721000863889467,0.07807947065009868,0.06296366127816569
50d,0.05059536304988041,0.03545287942065592,0.05876595796285775
100d,0.11157962551191543,0.07631034390779835,0.11938500375653786
200d,0.21183502772497056,0.22665488059655683,0.12295043636056183
365d,0.14059980892487275,0.07237814881638768,0.13289750031373715
