fold,oos,weights_label,fwd,spread_sharpe,long_avg,spread_avg,long_sharpe,win_rate
1,2014-06-23/2015-06-22,opt,fwd_5d,0.01035350188612938,0.019123269245028496,0.0006162722129374743,0.4051189124584198,0.6558704453441295
1,2014-06-23/2015-06-22,opt,fwd_20d,-0.05004255473613739,0.046118028461933136,-0.006060377229005098,0.377242773771286,0.728744939271255
1,2014-06-23/2015-06-22,opt,fwd_60d,0.0067953378893435,0.06965918093919754,0.0010419737081974745,0.2756732106208801,0.6153846153846154
1,2014-06-23/2015-06-22,opt,fwd_120d,0.1012677475810051,0.08084558695554733,0.015149136073887348,0.3122859001159668,0.6356275303643725
1,2014-06-23/2015-06-22,opt,fwd_250d,0.46276015043258667,0.035906486213207245,0.09047693759202957,0.1300296038389206,0.5506072874493927
1,2014-06-23/2015-06-22,live_4tf,fwd_5d,-0.03138221055269241,0.018402382731437683,-0.0018528321525081992,0.3957240879535675,0.6477732793522267
1,2014-06-23/2015-06-22,live_4tf,fwd_20d,-0.036280155181884766,0.04488202556967735,-0.0037853210233151913,0.3755749464035034,0.7327935222672065
1,2014-06-23/2015-06-22,live_4tf,fwd_60d,-0.010324308648705482,0.0672573521733284,-0.0013478449545800686,0.27484387159347534,0.6032388663967612
1,2014-06-23/2015-06-22,live_4tf,fwd_120d,-0.19516663253307343,0.06730566173791885,-0.028445307165384293,0.27345478534698486,0.6356275303643725
1,2014-06-23/2015-06-22,live_4tf,fwd_250d,0.2848319709300995,0.03148745372891426,0.05734967067837715,0.11266238242387772,0.5384615384615384
1,2014-06-23/2015-06-22,equal_9tf,fwd_5d,-0.012724583968520164,0.018314054235816002,-0.000761942588724196,0.39505302906036377,0.631578947368421
1,2014-06-23/2015-06-22,equal_9tf,fwd_20d,-0.09246999025344849,0.043490223586559296,-0.01216683816164732,0.3469659984111786,0.7449392712550608
1,2014-06-23/2015-06-22,equal_9tf,fwd_60d,0.0252669770270586,0.07209108769893646,0.004121976904571056,0.274521142244339,0.582995951417004
1,2014-06-23/2015-06-22,equal_9tf,fwd_120d,0.16005171835422516,0.07787728309631348,0.02368844673037529,0.28764086961746216,0.6356275303643725
1,2014-06-23/2015-06-22,equal_9tf,fwd_250d,0.5603044629096985,0.035722516477108,0.1105487123131752,0.12139379233121872,0.5668016194331984
1,2014-06-23/2015-06-22,equal_4tf_short,fwd_5d,-0.023726146668195724,0.01893569342792034,-0.001453976146876812,0.4076155722141266,0.6558704453441295
1,2014-06-23/2015-06-22,equal_4tf_short,fwd_20d,-0.07614041119813919,0.04548066109418869,-0.009238631464540958,0.3771710693836212,0.7449392712550608
1,2014-06-23/2015-06-22,equal_4tf_short,fwd_60d,-0.0927891805768013,0.06358467787504196,-0.01377771608531475,0.26275870203971863,0.6032388663967612
1,2014-06-23/2015-06-22,equal_4tf_short,fwd_120d,-0.2289850413799286,0.06543800979852676,-0.03572466969490051,0.2618004381656647,0.6356275303643725
1,2014-06-23/2015-06-22,equal_4tf_short,fwd_250d,0.269081711769104,0.032886967062950134,0.05613543465733528,0.11536519229412079,0.5344129554655871
1,2014-06-23/2015-06-22,long_biased,fwd_5d,-0.11925597488880157,0.014740558341145515,-0.008806058205664158,0.34542015194892883,0.6032388663967612
1,2014-06-23/2015-06-22,long_biased,fwd_20d,-0.1619931161403656,0.03807247802615166,-0.023845788091421127,0.2983492910861969,0.6680161943319838
1,2014-06-23/2015-06-22,long_biased,fwd_60d,-0.016060976311564445,0.07848041504621506,-0.002868683310225606,0.27414217591285706,0.5384615384615384
1,2014-06-23/2015-06-22,long_biased,fwd_120d,0.31975850462913513,0.09777404367923737,0.04876156523823738,0.325283020734787,0.6072874493927125
1,2014-06-23/2015-06-22,long_biased,fwd_250d,0.6853492259979248,0.04404936730861664,0.13596460223197937,0.14408059418201447,0.5789473684210527
2,2015-06-23/2016-06-22,opt,fwd_5d,-0.28125619888305664,-0.01138333696871996,-0.011533195152878761,-0.2686116397380829,0.42105263157894735
2,2015-06-23/2016-06-22,opt,fwd_20d,-0.2688513994216919,-0.02131044864654541,-0.014109398238360882,-0.3320832848548889,0.4898785425101215
2,2015-06-23/2016-06-22,opt,fwd_60d,-0.33610105514526367,-0.028669415041804314,-0.021314216777682304,-0.31409916281700134,0.44129554655870445
2,2015-06-23/2016-06-22,opt,fwd_120d,-0.11202003806829453,0.0014167468762025237,-0.009412690065801144,0.010556682012975216,0.4534412955465587
2,2015-06-23/2016-06-22,opt,fwd_250d,-0.5640243887901306,0.10099627822637558,-0.08877179026603699,0.6377981901168823,0.728744939271255
2,2015-06-23/2016-06-22,live_4tf,fwd_5d,-0.2523057460784912,-0.011438414454460144,-0.015937916934490204,-0.3123853802680969,0.42105263157894735
2,2015-06-23/2016-06-22,live_4tf,fwd_20d,-0.31718337535858154,-0.020730050280690193,-0.02071431651711464,-0.3528674244880676,0.4493927125506073
2,2015-06-23/2016-06-22,live_4tf,fwd_60d,-0.5223667025566101,-0.03513019531965256,-0.036764174699783325,-0.40325799584388733,0.3805668016194332
2,2015-06-23/2016-06-22,live_4tf,fwd_120d,0.06413934379816055,0.008730730041861534,0.005534466356039047,0.06741724163293839,0.4979757085020243
2,2015-06-23/2016-06-22,live_4tf,fwd_250d,0.03643267974257469,0.12921661138534546,0.004495521076023579,0.8341224193572998,0.7894736842105263
2,2015-06-23/2016-06-22,equal_9tf,fwd_5d,-0.27315753698349,-0.010083576664328575,-0.012547394260764122,-0.24360254406929016,0.4534412955465587
2,2015-06-23/2016-06-22,equal_9tf,fwd_20d,-0.29522544145584106,-0.020356163382530212,-0.017292363569140434,-0.3551468551158905,0.46963562753036436
2,2015-06-23/2016-06-22,equal_9tf,fwd_60d,-0.3257978558540344,-0.023552846163511276,-0.021447572857141495,-0.264852911233902,0.4898785425101215
2,2015-06-23/2016-06-22,equal_9tf,fwd_120d,0.21666525304317474,0.022278975695371628,0.017867911607027054,0.17200367152690887,0.4979757085020243
2,2015-06-23/2016-06-22,equal_9tf,fwd_250d,-0.29061877727508545,0.13357532024383545,-0.04275830462574959,0.8605443239212036,0.8218623481781376
2,2015-06-23/2016-06-22,equal_4tf_short,fwd_5d,-0.2552962303161621,-0.010854996740818024,-0.015297416597604752,-0.2993766665458679,0.4291497975708502
2,2015-06-23/2016-06-22,equal_4tf_short,fwd_20d,-0.29977545142173767,-0.019633954390883446,-0.019557354971766472,-0.3372653126716614,0.4534412955465587
2,2015-06-23/2016-06-22,equal_4tf_short,fwd_60d,-0.49830788373947144,-0.033123064786195755,-0.034710586071014404,-0.3778161108493805,0.4089068825910931
2,2015-06-23/2016-06-22,equal_4tf_short,fwd_120d,0.12241573631763458,0.011968392878770828,0.010088447481393814,0.09267698228359222,0.4979757085020243
