fold,oos,weights_label,fwd,spread_sharpe,long_avg,spread_avg,long_sharpe,win_rate
1,2010-01-04/2011-01-03,opt,fwd_5d,-0.17881706357002258,-0.0007347266073338687,-0.006435799412429333,-0.01614069566130638,0.5596707818930041
1,2010-01-04/2011-01-03,opt,fwd_20d,-0.049639541655778885,0.0069372947327792645,-0.002735602669417858,0.08300478011369705,0.5390946502057613
1,2010-01-04/2011-01-03,opt,fwd_60d,-0.02656858041882515,0.03664444386959076,-0.0021008749026805162,0.2496923953294754,0.6131687242798354
1,2010-01-04/2011-01-03,opt,fwd_120d,0.10399100929498672,0.07150480151176453,0.010439334437251091,0.4562775194644928,0.6172839506172839
1,2010-01-04/2011-01-03,opt,fwd_250d,-0.04815947636961937,0.0015657056355848908,-0.005955497734248638,0.008607480674982071,0.6131687242798354
1,2010-01-04/2011-01-03,live_4tf,fwd_5d,-0.2720879018306732,-0.0018227046821266413,-0.009345185942947865,-0.041137706488370895,0.551440329218107
1,2010-01-04/2011-01-03,live_4tf,fwd_20d,-0.15355409681797028,0.004518398083746433,-0.008079028688371181,0.05424113944172859,0.522633744855967
1,2010-01-04/2011-01-03,live_4tf,fwd_60d,-0.1306265890598297,0.031774889677762985,-0.010146045126020908,0.22103479504585266,0.6008230452674898
1,2010-01-04/2011-01-03,live_4tf,fwd_120d,0.053932104259729385,0.06973262131214142,0.005388140212744474,0.4471812844276428,0.6337448559670782
1,2010-01-04/2011-01-03,live_4tf,fwd_250d,-0.03917580097913742,0.003679879941046238,-0.004721866454929113,0.02049032784998417,0.6172839506172839
1,2010-01-04/2011-01-03,equal_9tf,fwd_5d,-0.07875041663646698,0.0012737370561808348,-0.0029729942325502634,0.027158726006746292,0.588477366255144
1,2010-01-04/2011-01-03,equal_9tf,fwd_20d,0.044002097100019455,0.008743919432163239,0.0024960164446383715,0.10200735181570053,0.5555555555555556
1,2010-01-04/2011-01-03,equal_9tf,fwd_60d,0.1995941400527954,0.04098786786198616,0.015737202018499374,0.27389201521873474,0.6131687242798354
1,2010-01-04/2011-01-03,equal_9tf,fwd_120d,0.3593185245990753,0.0761718899011612,0.03513062372803688,0.481346070766449,0.6337448559670782
1,2010-01-04/2011-01-03,equal_9tf,fwd_250d,0.06661266088485718,-0.0008151403744705021,0.008123987354338169,-0.0044904123060405254,0.6049382716049383
1,2010-01-04/2011-01-03,equal_4tf_short,fwd_5d,-0.26861870288848877,-0.0017897577490657568,-0.009179250337183475,-0.04019257053732872,0.5679012345679012
1,2010-01-04/2011-01-03,equal_4tf_short,fwd_20d,-0.17657886445522308,0.0038745824713259935,-0.009426946751773357,0.046899452805519104,0.5349794238683128
1,2010-01-04/2011-01-03,equal_4tf_short,fwd_60d,-0.10871538519859314,0.032597679644823074,-0.008444148115813732,0.22962601482868195,0.6008230452674898
1,2010-01-04/2011-01-03,equal_4tf_short,fwd_120d,0.10848399251699448,0.07230225205421448,0.010950863361358643,0.46585750579833984,0.6502057613168725
1,2010-01-04/2011-01-03,equal_4tf_short,fwd_250d,-0.040897149592638016,0.002577981911599636,-0.004982707090675831,0.014482472091913223,0.6131687242798354
1,2010-01-04/2011-01-03,long_biased,fwd_5d,-0.016437062993645668,0.0029999243561178446,-0.000673492846544832,0.061768267303705215,0.5761316872427984
1,2010-01-04/2011-01-03,long_biased,fwd_20d,0.029268749058246613,0.0068151745945215225,0.001582489931024611,0.07369805127382278,0.5267489711934157
1,2010-01-04/2011-01-03,long_biased,fwd_60d,0.3067929148674011,0.041380565613508224,0.021932221949100494,0.2673298418521881,0.5720164609053497
1,2010-01-04/2011-01-03,long_biased,fwd_120d,0.5108938813209534,0.08083004504442215,0.05306386202573776,0.48702988028526306,0.6625514403292181
1,2010-01-04/2011-01-03,long_biased,fwd_250d,0.25483083724975586,-0.0015586648369207978,0.026053182780742645,-0.008918749168515205,0.6131687242798354
2,2011-01-04/2012-01-03,opt,fwd_5d,-0.3101975917816162,-0.012171704322099686,-0.0078549450263381,-0.33491653203964233,0.38524590163934425
2,2011-01-04/2012-01-03,opt,fwd_20d,-0.5815511345863342,-0.0392518974840641,-0.026817509904503822,-0.5299066305160522,0.3114754098360656
2,2011-01-04/2012-01-03,opt,fwd_60d,-0.5740984082221985,-0.0898861512541771,-0.04289614409208298,-1.131463885307312,0.11475409836065574
2,2011-01-04/2012-01-03,opt,fwd_120d,-1.2963223457336426,-0.16539739072322845,-0.07535349577665329,-1.60935640335083,0.06967213114754098
2,2011-01-04/2012-01-03,opt,fwd_250d,-0.5216134190559387,-0.2647489905357361,-0.03920581564307213,-3.380430221557617,0.004098360655737705
2,2011-01-04/2012-01-03,live_4tf,fwd_5d,-0.25078442692756653,-0.01164190098643303,-0.006801394280046225,-0.3465232849121094,0.36065573770491804
2,2011-01-04/2012-01-03,live_4tf,fwd_20d,-0.4845365881919861,-0.03681199252605438,-0.022105108946561813,-0.5242526531219482,0.3155737704918033
2,2011-01-04/2012-01-03,live_4tf,fwd_60d,-0.46191737055778503,-0.0858735591173172,-0.032783638685941696,-1.1019847393035889,0.12295081967213115
2,2011-01-04/2012-01-03,live_4tf,fwd_120d,-1.220566987991333,-0.16164261102676392,-0.06336487084627151,-1.5731176137924194,0.07377049180327869
2,2011-01-04/2012-01-03,live_4tf,fwd_250d,-0.40343573689460754,-0.258938729763031,-0.028317615389823914,-3.2680680751800537,0.004098360655737705
2,2011-01-04/2012-01-03,equal_9tf,fwd_5d,-0.3102130889892578,-0.011827643029391766,-0.0075234281830489635,-0.31526389718055725,0.3729508196721312
2,2011-01-04/2012-01-03,equal_9tf,fwd_20d,-0.5459631085395813,-0.03716926649212837,-0.022360851988196373,-0.5057645440101624,0.3114754098360656
2,2011-01-04/2012-01-03,equal_9tf,fwd_60d,-0.6942915916442871,-0.0929589569568634,-0.046200159937143326,-1.1582343578338623,0.10655737704918032
2,2011-01-04/2012-01-03,equal_9tf,fwd_120d,-1.324268102645874,-0.1644393354654312,-0.0708276703953743,-1.5606262683868408,0.07377049180327869
2,2011-01-04/2012-01-03,equal_9tf,fwd_250d,-0.5489740967750549,-0.2646418809890747,-0.036396756768226624,-3.1889772415161133,0.004098360655737705
2,2011-01-04/2012-01-03,equal_4tf_short,fwd_5d,-0.26932722330093384,-0.01193800289183855,-0.007324528880417347,-0.3493540287017822,0.3729508196721312
2,2011-01-04/2012-01-03,equal_4tf_short,fwd_20d,-0.5047963857650757,-0.03786102309823036,-0.02376772090792656,-0.5411152839660645,0.29918032786885246
2,2011-01-04/2012-01-03,equal_4tf_short,fwd_60d,-0.483879417181015,-0.08654389530420303,-0.03567735105752945,-1.1242620944976807,0.11885245901639344
2,2011-01-04/2012-01-03,equal_4tf_short,fwd_120d,-1.3636608123779297,-0.16231036186218262,-0.06748717278242111,-1.6145747900009155,0.06147540983606557
